customer_id,contract_type,segment,base_arpu,tenure_months
255,Monthly,Enterprise,4522.48,31
256,Quarterly,SMB,2505.64,20
257,Annual,SMB,3235.52,11
258,Quarterly,MidMarket,1870.23,50
259,Quarterly,SMB,3627.06,1
260,Monthly,Enterprise,2115.67,44
261,Quarterly,SMB,2796.8,18
262,Annual,MidMarket,4424.98,39
263,Monthly,MidMarket,4254.96,44
264,Quarterly,SMB,2951.55,33
265,Half-Yearly,Enterprise,1345.26,54
266,Half-Yearly,MidMarket,11461.68,36
267,Quarterly,SMB,6539.63,18
268,Half-Yearly,SMB,4126.58,47
269,Monthly,Enterprise,2124.0,31
270,Monthly,SMB,2832.41,35
271,Half-Yearly,SMB,2334.28,39
272,Half-Yearly,SMB,5264.47,38
273,Half-Yearly,SMB,3354.73,15
274,Annual,MidMarket,2094.62,47
275,Quarterly,SMB,2411.88,6
276,Quarterly,SMB,4937.11,8
277,Half-Yearly,SMB,6124.45,40
278,Quarterly,SMB,5929.82,22
279,Half-Yearly,Enterprise,4190.87,1
280,Half-Yearly,SMB,2660.63,58
281,Half-Yearly,Enterprise,693.2,13
282,Monthly,SMB,3407.46,55
283,Monthly,SMB,2978.51,24
284,Monthly,Enterprise,3174.77,21
285,Quarterly,SMB,3054.14,45
286,Monthly,MidMarket,1641.2,43
287,Quarterly,Enterprise,3830.82,4
288,Quarterly,SMB,3961.97,7
289,Monthly,SMB,4052.35,12
290,Quarterly,MidMarket,4564.02,59
291,Monthly,SMB,3912.08,13
292,Monthly,SMB,2478.69,54
293,Half-Yearly,SMB,2887.43,44
294,Monthly,SMB,3105.74,16
295,Monthly,MidMarket,3128.99,6
296,Quarterly,SMB,4671.32,14
297,Half-Yearly,SMB,3982.44,51
298,Monthly,MidMarket,7591.65,48
299,Quarterly,SMB,8045.84,59
300,Monthly,SMB,3089.74,58
301,Monthly,MidMarket,530.33,31
302,Quarterly,SMB,5200.84,36
303,Quarterly,MidMarket,2337.48,37
304,Quarterly,Enterprise,2078.36,41
305,Half-Yearly,SMB,2491.65,56
306,Annual,MidMarket,2438.19,35
307,Quarterly,SMB,3926.57,54
308,Monthly,SMB,1477.72,10
309,Half-Yearly,Enterprise,1835.41,17
310,Monthly,Enterprise,3478.73,51
311,Monthly,SMB,3945.48,42
312,Monthly,MidMarket,3978.63,30
313,Monthly,Enterprise,2091.91,44
314,Annual,Enterprise,1919.42,55
315,Half-Yearly,MidMarket,2373.25,7
316,Quarterly,SMB,3320.74,18
317,Monthly,SMB,5816.56,19
318,Monthly,Enterprise,1186.37,15
319,Monthly,SMB,2699.1,39
320,Monthly,MidMarket,1636.47,44
321,Quarterly,SMB,1417.27,22
322,Half-Yearly,SMB,4606.07,39
323,Quarterly,SMB,3808.84,42
324,Monthly,Enterprise,3649.13,57
325,Annual,SMB,4511.85,56
326,Half-Yearly,MidMarket,2402.17,54
327,Quarterly,SMB,2453.6,30
328,Quarterly,SMB,7971.11,20
329,Monthly,SMB,2667.89,32
330,Monthly,MidMarket,4149.78,42
331,Monthly,SMB,2989.53,25
332,Half-Yearly,SMB,1297.62,23
333,Monthly,SMB,1187.87,5
334,Monthly,SMB,2297.22,50
335,Monthly,Enterprise,4794.6,41
336,Monthly,Enterprise,4250.24,30
337,Half-Yearly,SMB,4497.76,48
338,Half-Yearly,MidMarket,1911.85,39
339,Quarterly,Enterprise,6168.08,57
340,Monthly,SMB,1931.01,27
341,Quarterly,MidMarket,3280.57,57
342,Quarterly,Enterprise,2967.1,42
343,Monthly,SMB,2756.61,37
344,Monthly,SMB,5444.53,7
345,Monthly,Enterprise,2170.47,5
346,Quarterly,MidMarket,1624.05,15
347,Quarterly,SMB,3007.9,51
348,Monthly,SMB,2490.1,42
349,Monthly,SMB,13627.19,8
350,Quarterly,MidMarket,4041.73,56
351,Quarterly,MidMarket,2479.46,9
352,Half-Yearly,Enterprise,1853.35,11
353,Quarterly,SMB,1279.05,22
354,Monthly,MidMarket,1879.29,34
355,Monthly,MidMarket,3139.2,35
356,Quarterly,SMB,5666.34,13
357,Monthly,SMB,4938.22,11
358,Quarterly,Enterprise,3304.67,32
359,Annual,Enterprise,2577.5,42
360,Quarterly,SMB,3364.27,59
361,Monthly,MidMarket,2360.46,15
362,Quarterly,SMB,6459.22,38
363,Quarterly,MidMarket,2737.68,1
364,Quarterly,MidMarket,2867.36,46
365,Annual,MidMarket,1099.8,50
366,Monthly,Enterprise,2729.99,24
367,Annual,MidMarket,4343.42,43
368,Annual,SMB,1843.69,40
369,Monthly,MidMarket,2126.38,22
370,Monthly,SMB,4258.7,3
371,Monthly,SMB,1533.8,14
372,Monthly,SMB,4798.27,2
373,Monthly,SMB,2346.16,32
374,Quarterly,MidMarket,2502.75,48
375,Monthly,SMB,1797.68,38
376,Monthly,MidMarket,3533.77,33
377,Half-Yearly,MidMarket,9017.68,46
378,Monthly,SMB,4237.27,42
379,Half-Yearly,MidMarket,2020.44,6
380,Monthly,SMB,4969.28,41
381,Monthly,SMB,2585.03,39
382,Quarterly,MidMarket,5533.18,25
383,Quarterly,SMB,4285.55,34
384,Half-Yearly,SMB,792.81,11
385,Half-Yearly,MidMarket,1897.26,46
386,Half-Yearly,MidMarket,4559.52,37
387,Monthly,SMB,3191.5,41
388,Monthly,Enterprise,1880.53,7
389,Half-Yearly,MidMarket,2241.46,57
390,Half-Yearly,Enterprise,1264.2,46
391,Annual,SMB,2864.74,59
392,Monthly,MidMarket,8061.14,48
393,Monthly,Enterprise,4282.19,22
394,Half-Yearly,MidMarket,7987.94,48
395,Monthly,MidMarket,4434.09,39
396,Annual,SMB,4733.24,10
397,Half-Yearly,SMB,7246.95,21
398,Monthly,SMB,3532.53,6
399,Half-Yearly,SMB,2740.09,49
400,Half-Yearly,Enterprise,4744.28,1
401,Monthly,SMB,5734.34,34
402,Annual,Enterprise,2401.9,59
403,Quarterly,Enterprise,2154.46,14
404,Half-Yearly,SMB,3173.17,36
405,Monthly,SMB,4333.69,27
406,Half-Yearly,Enterprise,4269.03,9
407,Monthly,Enterprise,1570.46,55
408,Monthly,SMB,7046.05,6
409,Annual,SMB,2233.84,31
410,Monthly,MidMarket,2645.78,17
411,Monthly,MidMarket,1985.86,53
412,Annual,SMB,10039.15,43
413,Annual,MidMarket,3324.03,36
414,Quarterly,SMB,2032.58,21
415,Quarterly,SMB,4397.39,27
416,Monthly,SMB,4213.76,41
417,Monthly,SMB,2739.48,28
418,Monthly,SMB,4351.49,16
419,Quarterly,SMB,2056.21,35
420,Half-Yearly,SMB,2387.94,36
421,Half-Yearly,SMB,1206.41,56
422,Half-Yearly,SMB,1642.91,35
423,Monthly,Enterprise,6723.97,45
424,Quarterly,SMB,6239.42,19
425,Monthly,SMB,3070.53,57
426,Quarterly,MidMarket,6300.09,21
427,Monthly,Enterprise,2773.78,58
428,Half-Yearly,SMB,2671.69,33
429,Monthly,MidMarket,3057.74,23
430,Monthly,MidMarket,2818.01,55
431,Monthly,MidMarket,2705.82,6
432,Half-Yearly,SMB,4986.7,32
433,Quarterly,MidMarket,3189.31,22
434,Monthly,SMB,4107.69,3
435,Monthly,MidMarket,4741.56,35
436,Half-Yearly,MidMarket,3549.93,16
437,Monthly,SMB,1926.34,42
438,Half-Yearly,MidMarket,1621.67,59
439,Half-Yearly,SMB,3187.37,25
440,Monthly,MidMarket,2759.86,17
441,Monthly,SMB,3100.52,39
442,Annual,SMB,2959.5,13
443,Monthly,SMB,9533.89,28
444,Monthly,Enterprise,1638.27,11
445,Half-Yearly,SMB,1217.46,10
446,Annual,SMB,3461.89,39
447,Annual,SMB,2516.46,24
448,Half-Yearly,MidMarket,3436.57,38
449,Monthly,MidMarket,3876.73,24
450,Monthly,SMB,5312.66,33
451,Half-Yearly,SMB,1512.85,17
452,Quarterly,SMB,2320.36,57
453,Monthly,SMB,3615.35,44
454,Annual,SMB,4216.28,36
455,Monthly,MidMarket,7998.84,35
456,Quarterly,SMB,4582.81,6
457,Monthly,SMB,2905.75,58
458,Quarterly,SMB,1996.81,16
459,Monthly,Enterprise,2312.47,45
460,Monthly,Enterprise,2283.09,28
461,Monthly,MidMarket,4003.22,41
462,Quarterly,SMB,3346.43,32
463,Half-Yearly,SMB,1643.13,26
464,Quarterly,SMB,2450.0,11
465,Annual,SMB,4424.43,52
466,Monthly,MidMarket,3492.06,25
467,Monthly,MidMarket,3850.24,31
468,Half-Yearly,Enterprise,3541.53,21
469,Monthly,MidMarket,6197.45,45
470,Annual,SMB,3315.02,55
471,Monthly,MidMarket,2505.62,51
472,Annual,SMB,1974.18,3
473,Monthly,SMB,3335.32,12
474,Half-Yearly,MidMarket,993.95,51
475,Quarterly,SMB,2743.72,40
476,Annual,SMB,2717.24,46
477,Monthly,SMB,1613.22,54
478,Quarterly,MidMarket,1963.1,41
479,Annual,MidMarket,4291.3,25
480,Quarterly,SMB,3307.08,56
481,Quarterly,MidMarket,3120.68,17
482,Quarterly,SMB,3421.58,38
483,Quarterly,SMB,3107.84,36
484,Quarterly,MidMarket,5214.97,36
485,Quarterly,MidMarket,3151.21,19
486,Annual,Enterprise,1546.58,44
487,Monthly,SMB,6207.78,57
488,Monthly,MidMarket,3521.54,2
489,Annual,MidMarket,2286.63,17
490,Half-Yearly,Enterprise,1695.9,30
491,Quarterly,SMB,3562.3,47
492,Quarterly,MidMarket,2827.85,10
493,Monthly,MidMarket,6053.34,35
494,Monthly,SMB,2551.26,52
495,Quarterly,SMB,2045.05,36
496,Monthly,SMB,4460.91,54
497,Quarterly,MidMarket,4520.5,33
498,Monthly,Enterprise,3216.0,1
499,Annual,MidMarket,4041.46,18
500,Annual,MidMarket,2930.83,4
501,Quarterly,MidMarket,3311.77,55
502,Quarterly,SMB,5035.39,54
503,Monthly,SMB,3949.69,47
504,Half-Yearly,SMB,2762.32,27
505,Quarterly,SMB,5478.37,25
506,Monthly,SMB,1028.46,55
507,Annual,MidMarket,7505.81,28
508,Half-Yearly,SMB,1383.43,53
509,Annual,SMB,2248.03,22
510,Half-Yearly,SMB,2926.57,42
511,Quarterly,SMB,2790.8,25
512,Monthly,Enterprise,4688.58,17
513,Annual,Enterprise,1851.91,59
514,Half-Yearly,MidMarket,3352.11,57
515,Monthly,SMB,2298.02,54
516,Monthly,MidMarket,3404.36,44
517,Monthly,MidMarket,2895.32,52
518,Half-Yearly,MidMarket,3108.27,12
519,Annual,SMB,2327.46,16
520,Monthly,MidMarket,2369.59,37
521,Quarterly,MidMarket,3392.33,16
522,Monthly,MidMarket,4558.15,17
523,Annual,MidMarket,2277.36,55
524,Half-Yearly,SMB,2016.37,31
525,Half-Yearly,MidMarket,3928.67,15
526,Quarterly,SMB,2937.67,13
527,Monthly,MidMarket,4331.74,40
528,Monthly,SMB,1983.05,27
529,Monthly,SMB,1338.43,21
530,Half-Yearly,SMB,2345.25,2
531,Half-Yearly,MidMarket,2111.47,8
532,Annual,SMB,2877.12,42
533,Annual,MidMarket,2238.18,7
534,Quarterly,MidMarket,4160.78,10
535,Half-Yearly,SMB,2618.44,57
536,Annual,SMB,3189.8,4
537,Half-Yearly,SMB,3200.09,43
538,Monthly,Enterprise,3254.29,41
539,Quarterly,MidMarket,2948.77,36
540,Monthly,SMB,3750.97,35
541,Annual,SMB,2083.81,43
542,Quarterly,MidMarket,5595.61,3
543,Monthly,Enterprise,2679.96,58
544,Quarterly,MidMarket,1652.1,18
545,Quarterly,MidMarket,3244.23,58
546,Monthly,SMB,2032.39,51
547,Monthly,SMB,4021.46,46
548,Quarterly,SMB,8057.21,56
549,Quarterly,SMB,2092.35,43
550,Half-Yearly,SMB,3461.88,24
551,Quarterly,SMB,1352.92,32
552,Half-Yearly,SMB,3656.48,34
553,Quarterly,Enterprise,2001.05,59
554,Quarterly,MidMarket,2250.31,2
555,Half-Yearly,MidMarket,1816.05,2
556,Monthly,MidMarket,4144.21,10
557,Monthly,SMB,4690.46,23
558,Monthly,MidMarket,3012.49,15
559,Half-Yearly,SMB,2020.31,54
560,Quarterly,MidMarket,6095.37,12
561,Half-Yearly,SMB,2126.68,43
562,Monthly,Enterprise,1126.74,17
563,Monthly,SMB,3663.87,18
564,Monthly,SMB,1813.21,14
565,Monthly,Enterprise,4651.17,17
566,Quarterly,SMB,2511.13,15
567,Monthly,MidMarket,3911.48,12
568,Monthly,MidMarket,5600.86,59
569,Annual,MidMarket,1730.24,16
570,Monthly,Enterprise,2310.75,32
571,Quarterly,Enterprise,2881.16,23
572,Half-Yearly,SMB,5954.47,38
573,Monthly,MidMarket,2216.6,34
574,Quarterly,MidMarket,2281.24,34
575,Half-Yearly,MidMarket,3696.58,16
576,Annual,SMB,2299.04,34
577,Monthly,MidMarket,3192.75,40
578,Annual,Enterprise,1482.98,7
579,Quarterly,Enterprise,8074.36,33
580,Monthly,SMB,1625.44,4
581,Quarterly,SMB,2579.14,43
582,Annual,SMB,2937.7,52
583,Quarterly,MidMarket,7049.48,7
584,Monthly,MidMarket,1642.24,18
585,Quarterly,SMB,7278.4,4
586,Monthly,SMB,4191.15,49
587,Monthly,SMB,3596.42,11
588,Monthly,SMB,1913.93,43
589,Monthly,Enterprise,3854.57,20
590,Monthly,MidMarket,2152.6,11
591,Monthly,SMB,5271.12,15
592,Quarterly,MidMarket,1925.66,46
593,Monthly,SMB,2832.96,17
594,Monthly,Enterprise,2321.87,34
595,Half-Yearly,SMB,1911.44,50
596,Quarterly,SMB,4161.35,48
597,Quarterly,SMB,3793.17,12
598,Monthly,MidMarket,5136.13,42
599,Monthly,MidMarket,1338.17,28
600,Monthly,MidMarket,4812.04,48
601,Monthly,SMB,9204.54,35
602,Monthly,SMB,2432.71,8
603,Monthly,SMB,6994.06,27
604,Monthly,MidMarket,2648.05,22
605,Monthly,SMB,1607.47,54
606,Quarterly,MidMarket,2597.92,57
607,Monthly,Enterprise,4777.59,24
608,Monthly,Enterprise,2044.32,2
609,Quarterly,SMB,2275.26,31
610,Quarterly,SMB,3893.61,22
611,Monthly,SMB,2985.07,1
612,Half-Yearly,MidMarket,3878.02,14
613,Quarterly,MidMarket,3317.69,25
614,Monthly,SMB,3699.05,36
615,Half-Yearly,SMB,2453.98,36
616,Annual,MidMarket,3308.6,41
617,Monthly,Enterprise,1963.89,3
618,Monthly,SMB,5323.01,5
619,Half-Yearly,MidMarket,2240.77,1
620,Half-Yearly,SMB,4954.15,54
621,Monthly,SMB,2683.5,19
622,Monthly,Enterprise,3264.62,33
623,Monthly,MidMarket,2385.74,42
624,Quarterly,MidMarket,1887.11,54
625,Quarterly,SMB,1359.48,30
626,Monthly,MidMarket,1854.01,12
627,Quarterly,SMB,2576.64,10
628,Half-Yearly,SMB,3279.17,34
629,Monthly,MidMarket,4696.96,16
630,Monthly,SMB,2439.16,40
631,Half-Yearly,MidMarket,2004.44,46
632,Half-Yearly,MidMarket,1557.41,29
633,Quarterly,SMB,3699.78,15
634,Quarterly,SMB,5554.91,48
635,Monthly,SMB,5270.33,11
636,Monthly,SMB,4102.98,44
637,Quarterly,MidMarket,3973.27,34
638,Monthly,MidMarket,6399.22,36
639,Monthly,SMB,3461.43,30
640,Monthly,SMB,3986.86,35
641,Monthly,MidMarket,2580.26,9
642,Monthly,MidMarket,1614.98,18
643,Monthly,SMB,2191.34,19
644,Monthly,SMB,2968.7,39
645,Monthly,MidMarket,3063.62,4
646,Half-Yearly,SMB,7092.75,6
647,Quarterly,SMB,3092.0,51
648,Quarterly,MidMarket,5066.88,33
649,Half-Yearly,MidMarket,2450.91,32
650,Quarterly,MidMarket,2590.86,16
651,Monthly,MidMarket,1639.17,11
652,Quarterly,MidMarket,2134.42,22
653,Quarterly,SMB,3778.72,36
654,Half-Yearly,SMB,2991.12,50
655,Monthly,SMB,4556.56,23
656,Monthly,SMB,3234.29,26
657,Monthly,MidMarket,2543.75,31
658,Monthly,Enterprise,7837.96,29
659,Quarterly,Enterprise,2857.62,5
660,Quarterly,MidMarket,5030.88,54
661,Monthly,SMB,2488.55,38
662,Annual,SMB,4102.37,25
663,Quarterly,MidMarket,4526.06,34
664,Monthly,MidMarket,3274.18,12
665,Monthly,MidMarket,1033.27,22
666,Monthly,MidMarket,3005.54,9
667,Monthly,MidMarket,5185.94,20
668,Monthly,MidMarket,3779.57,29
669,Monthly,SMB,3643.24,44
670,Monthly,MidMarket,1373.32,29
671,Monthly,Enterprise,2155.54,45
672,Half-Yearly,SMB,3587.14,27
673,Monthly,MidMarket,3585.57,54
674,Quarterly,SMB,5149.22,55
675,Monthly,Enterprise,2792.83,17
676,Annual,SMB,3578.22,5
677,Monthly,MidMarket,3003.0,52
678,Monthly,SMB,1911.94,45
679,Annual,MidMarket,1080.19,13
680,Half-Yearly,SMB,3619.0,42
681,Half-Yearly,SMB,3223.67,15
682,Monthly,SMB,2257.07,15
683,Monthly,Enterprise,1438.52,18
684,Quarterly,SMB,3957.56,50
685,Annual,SMB,2644.76,2
686,Quarterly,MidMarket,3829.9,23
687,Quarterly,MidMarket,6896.86,43
688,Monthly,Enterprise,1137.24,13
689,Half-Yearly,SMB,2175.86,43
690,Monthly,MidMarket,2712.92,4
691,Monthly,SMB,5736.89,47
692,Monthly,SMB,1427.41,54
693,Quarterly,MidMarket,7123.38,55
694,Monthly,MidMarket,3168.89,25
695,Monthly,MidMarket,2854.92,11
696,Quarterly,SMB,2726.77,50
697,Monthly,SMB,2449.6,48
698,Quarterly,SMB,4777.4,42
699,Monthly,Enterprise,1843.03,12
700,Quarterly,SMB,3482.26,13
701,Quarterly,SMB,2507.69,9
702,Monthly,SMB,2115.49,59
703,Monthly,MidMarket,9544.2,53
704,Monthly,SMB,3599.58,45
705,Monthly,Enterprise,3928.33,38
706,Annual,SMB,4974.1,6
707,Monthly,Enterprise,1572.45,43
708,Half-Yearly,SMB,6558.59,51
